"","sumPrecip","station_id","genLineType","Lat","Long","STATION_DESCRIPTIVE_NAME","rides"
"1",0.1,"40010","Blue Line",41.870851,-87.776812,"Austin (Blue Line)",1038
"2",0.1,"40020","Green Line",41.886848,-87.803176,"Harlem/Lake (Green Line)",2901
"3",0.1,"40030","Green Line",41.885412,-87.725404,"Pulaski (Green Line)",1431
"4",0.1,"40040","Multiple Lines",41.878723,-87.63374,"Quincy/Wells (Brown, Orange, Purple & Pink lines)",2902
"5",0.1,"40050","Purple Line",42.04771,-87.683543,"Davis (Purple Line)",3262
"6",0.1,"40060","Blue Line",41.938132,-87.712359,"Belmont (Blue Line)",4523
"7",0.1,"40070","Blue Line",41.878183,-87.629296,"Jackson (Blue Line)",3774
"8",0.1,"40080","Red Line",41.953775,-87.654929,"Sheridan (Red Line)",4741
"9",0.1,"40090","Brown Line",41.966286,-87.678639,"Damen (Brown Line)",2032
"10",0.1,"40100","Red Line",42.008362,-87.665909,"Morse (Red Line)",4664
"11",0.1,"40120","Orange Line",41.829353,-87.680622,"35th/Archer (Orange Line)",2102
"12",0.1,"40130","Green Line",41.80209,-87.618487,"51st (Green Line)",951
"13",0.1,"40140","Yellow Line",42.038951,-87.751919,"Dempster-Skokie  (Yellow Line)",1336
"14",0.1,"40150","Pink Line",41.853732,-87.724311,"Pulaski (Pink Line)",1296
"15",0.1,"40160","Multiple Lines",41.8768,-87.631739,"LaSalle/Van Buren (Brown, Orange, Purple & Pink lines)",1001
"16",0.1,"40170","Multiple Lines",41.885269,-87.666969,"Ashland (Green & Pink lines)",2535
"17",0.1,"40180","Blue Line",41.872108,-87.791602,"Oak Park (Blue Line)",693
"18",0.1,"40190","Red Line",41.831191,-87.630636,"Sox-35th (Red Line)",2827
"19",0.1,"40210","Pink Line",41.854517,-87.675975,"Damen (Pink Line)",1733
"20",0.1,"40220","Blue Line",41.875478,-87.688436,"Western (Blue Line - Forest Park Branch)",1362
"21",0.1,"40230","Blue Line",41.984246,-87.838028,"Cumberland (Blue Line)",2201
"22",0.1,"40240","Red Line",41.750419,-87.625112,"79th (Red Line)",5877
"23",0.1,"40250","Blue Line",41.874341,-87.70604,"Kedzie-Homan (Blue Line)",1648
"24",0.1,"40260","Multiple Lines",41.88574,-87.627835,"State/Lake (Brown, Green, Orange, Pink & Purple lines)",12499
"25",0.1,"40270","Purple Line",42.033456,-87.679538,"Main (Purple Line)",1069
"26",0.1,"40280","Green Line",41.887389,-87.76565,"Central (Green Line)",1850
"27",0.1,"40290","Green Line",41.77886,-87.663766,"Ashland/63rd (Green Line)",988
"28",0.1,"40300","Green Line",41.821732,-87.621371,"Indiana (Green Line)",542
"29",0.1,"40310","Orange Line",41.804546,-87.684019,"Western (Orange Line)",3014
"30",0.1,"40320","Blue Line",41.903355,-87.666496,"Division (Blue Line)",5121
"31",0.1,"40330","Red Line",41.891665,-87.628021,"Grand (Red Line)",15144
"32",0.1,"40340","Red Line",41.977984,-87.658668,"Berwyn (Red Line)",0
"33",0.1,"40350","Blue Line",41.875474,-87.649707,"UIC-Halsted (Blue Line)",3290
"34",0.1,"40360","Brown Line",41.943744,-87.663619,"Southport (Brown Line)",3756
"35",0.1,"40370","Blue Line",41.883164,-87.62944,"Washington (Blue Line)",10431
"36",0.1,"40380","Multiple Lines",41.885737,-87.630886,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink lines)",9713
"37",0.1,"40390","Blue Line",41.874257,-87.817318,"Forest Park (Blue Line)",1801
"38",0.1,"40400","Purple Line",42.058282,-87.683337,"Noyes (Purple Line)",876
"39",0.1,"40420","Pink Line",41.85182,-87.745336,"Cicero (Pink Line)",1524
"40",0.1,"40430","Blue Line",41.875539,-87.640984,"Clinton (Blue Line)",2043
"41",0.1,"40440","Pink Line",41.854109,-87.694774,"California (Pink Line)",1443
"42",0.1,"40450","Red Line",41.722377,-87.624342,"95th/Dan Ryan (Red Line)",7746
"43",0.1,"40460","Multiple Lines",41.888969,-87.633924,"Merchandise Mart (Brown & Purple lines)",3124
"44",0.1,"40470","Blue Line",41.87592,-87.659458,"Racine (Blue Line)",1472
"45",0.1,"40480","Green Line",41.886519,-87.744698,"Cicero (Green Line)",1104
"46",0.1,"40490","Blue Line",41.891189,-87.647578,"Grand (Blue Line)",2902
"47",0.1,"40510","Green Line",41.795172,-87.618327,"Garfield (Green Line)",1262
"48",0.1,"40520","Purple Line",42.05416,-87.68356,"Foster (Purple Line)",1005
"49",0.1,"40530","Multiple Lines",41.932732,-87.653131,"Diversey (Brown & Purple lines)",4292
"50",0.1,"40540","Multiple Lines",41.964273,-87.657588,"Wilson (Red & Purple lines)",9705
"51",0.1,"40550","Blue Line",41.952925,-87.729229,"Irving Park (Blue Line)",3170
"52",0.1,"40560","Red Line",41.878153,-87.627596,"Jackson (Red Line)",4648
"53",0.1,"40570","Blue Line",41.921939,-87.69689,"California  (Blue Line)",4275
"54",0.1,"40570","Blue Line",41.921939,-87.69689,"California (Blue Line)",4275
"55",0.1,"40580","Pink Line",41.85177331,-87.75669201,"54th/Cermak (Pink Line)",2043
"56",0.1,"40590","Blue Line",41.909744,-87.677437,"Damen (Blue Line)",6010
"57",0.1,"40600","Pink Line",41.853751,-87.733258,"Kostner (Pink Line)",484
"58",0.1,"40610","Green Line",41.887159,-87.783661,"Ridgeland (Green Line)",686
"59",0.1,"40630","Red Line",41.90392,-87.631412,"Clark/Division (Red Line)",9417
"60",0.1,"40650","Red Line",41.910655,-87.649177,"North/Clybourn (Red Line)",6232
"61",0.1,"40660","Multiple Lines",41.918217,-87.652644,"Armitage (Brown & Purple lines)",3779
"62",0.1,"40670","Blue Line",41.916157,-87.687364,"Western (Blue Line - O'Hare Branch)",3980
"63",0.1,"40680","Multiple Lines",41.879507,-87.626037,"Adams/Wabash (Brown, Green, Orange, Pink & Purple lines)",4868
"64",0.1,"40690","Purple Line",42.041655,-87.681602,"Dempster (Purple Line)",1017
"65",0.1,"40700","Green Line",41.887163,-87.754986,"Laramie (Green Line)",1011
"66",0.1,"40710","Multiple Lines",41.89681,-87.635924,"Chicago (Brown & Purple lines)",4980
"67",0.1,"40720","Green Line",41.780309,-87.605857,"Cottage Grove (Green Line)",643
"68",0.1,"40730","Multiple Lines",41.882695,-87.63378,"Washington/Wells (Brown, Orange, Purple & Pink lines)",2018
"69",0.1,"40740","Pink Line",41.854225,-87.685129,"Western (Pink Line)",1227
"70",0.1,"40750","Blue Line",41.98227,-87.8089,"Harlem (Blue Line - O'Hare Branch)",1862
"71",0.1,"40760","Red Line",41.993664,-87.659202,"Granville (Red Line)",4666
